sp	matK	rbcL	ndhF	trnL-F	ITS
S-16	T	T	T	FAIL	F
S-17	T	T	T	T	T
S-18	F	F	F	FAIL	F
S-19	T	T	T	T	T
S-20	T	T	T	T	T
S-21	T	T	T	T	T
S-22	T	T	T	T	T
S-23	FAIL	F	T	FAIL	T
S-24	T	T	T	T	T
S-25	T	T	T	F	T
S-26	T	T	T	T	T
S-27	T	T	T	T	T
S-28	T	T	T	T	T
S-29	T	T	T	T	T
S-30	F	FAIL	F	FAIL	T
S-31	FAIL	F	FAIL	FAIL	T
S-32	F	T	F	FAIL	T
S-33	T	F	F	FAIL	T
S-34	T	T	F	F	T
S-35	T	F	F	FAIL	T
S-36	T	T	F	T	T
S-37	F	F	F	FAIL	T
S-38	T	T	T	FAIL	T
S-39	F	T	F	FAIL	T
S-40	F	T	F	T	T
S-41	T	F	T	FAIL	T
S-42	T	T	T	T	T
S-43	T	T	T	T	T
S-44	T	T	T	FAIL	T
S-45	T	T	T	T	T
S-46	T	T	T	T	T
S-47	T	T	T	T	T
S-48	T	T	T	T	T
S-49	T	T	T	T	T
S-50	T	T	T	T	T
S-51	T	T	T	T	T
S-52	FAIL	T	F	FAIL	T
S-53	T	T	T	FAIL	T
S-54	T	T	F	FAIL	T
S-55	T	T	T	T	T
S-56	FAIL	FAIL	FAIL	FAIL	T
S-57	T	FAIL	FAIL	FAIL	T
S-58	T	T	T	T	T
S-59	T	T	T	T	T
S-60	T	T	T	FAIL	T
S-61	T	T	T	F	T
S-62	T	T	T	F	T
S-63	F	F	F	FAIL	T
S-64	F	T	F	T	T
S-65	T	F	T	T	T
S-66	F	T	T	T	T
S-67	T	F	T	T	T
S-68	F	F	T	FAIL	T
S-69	F	T	F	FAIL	T
S-70	F	F	F	FAIL	T
S-71	FAIL	F	FAIL	FAIL	T
S-72	T	T	F	T	T
S-73	T	T	T	FAIL	T
S-74	T	T	T	FAIL	T
S-75	FAIL	T	T	FAIL	T
S-76	T	T	T	FAIL	T
S-77	T	F	T	FAIL	T
S-78	FAIL	T	F	FAIL	T
S-79	T	T	T	FAIL	T
S-80	T	T	F	F	T
S-81	T	T	T	T	T
S-82	F	T	F	T	T
S-83	T	T	T	FAIL	T
S-84	T	T	F	FAIL	T
S-85	T	T	F	T	T
S-86	T	T	T	FAIL	T
S-87	F	F	F	T	T
S-88	F	T	F	F	T
S-89	F	T	F	T	T
S-90	FAIL	F	T	FAIL	T
S-91	T	T	T	T	T
S-92	T	T	T	FAIL	T
S-93	FAIL	FAIL	FAIL	FAIL	T
S-94	T	T	T	T	T
S-95	T	T	T	T	T
S-96	T	T	T	T	T
S-97	T	T	T	FAIL	T
S-98	T	T	T	T	T
S-99	T	T	T	T	T
S-100	T	T	T	T	T
