sp	matK	rbcL	ndhF	trnL-F	ITS
3518@Amorimia	1534@Amorimia	3338@Amorimia	1534@Amorimia	FAIL	1531@Amorimia
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1324@Microsteira
C-414	C-303	C-303	C-303	FAIL	C-303
3444@Thryallis	1740@Thryallis	3729@Thryallis	1740@Thryallis	FAIL	1739@Thryallis
3594@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	3353@Camarea	1162@Camarea
2272@Elatine	2906@Elatine	2906@Elatine	2909@Elatine	2909@Elatine	2279@Elatine
3220@Heteropterys	3301@Heteropterys	1702@Callaeum	1590@Carolus	FAIL	845@Heteropterys
3353@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	3594@Camarea
270@Microsteira	1324@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	1382@Microsteira
S-1	S-10	S-7	S-7	S-8	S-8
S-2	S-1	S-7	S-7	S-8	S-7
S-3	S-10	S-88	S-10	FAIL	S-7
S-4	S-10	S-9	S-10	FAIL	S-5
S-5	S-10	S-9	S-10	FAIL	S-6
S-6	S-10	S-9	S-10	S-2	S-5
S-7	S-1	S-1	S-1	S-8	S-3
S-8	S-1	S-7	S-7	S-7	S-2
S-9	S-10	S-4	S-10	FAIL	S-2
S-10	S-9	S-9	S-9	FAIL	S-6
S-11	S-13	S-19	S-19	FAIL	S-13
S-12	FAIL	FAIL	FAIL	FAIL	S-50
S-13	S-19	S-19	S-19	S-19	S-11
S-14	S-19	S-19	S-13	FAIL	S-19
S-15	S-20	S-20	S-20	S-20	S-17
S-16	S-20	S-20	S-20	FAIL	S-1
S-17	S-20	S-20	S-20	S-20	S-15
S-18	S-8	S-29	S-1	FAIL	S-2
S-19	S-14	S-13	S-13	S-13	S-14
S-20	S-16	S-17	S-15	S-15	S-17
S-21	S-27	S-22	S-25	S-27	S-26
S-22	S-27	S-21	S-21	S-21	S-28
S-23	FAIL	S-100	S-29	FAIL	S-21
S-24	S-28	S-26	S-26	S-26	S-29
S-25	S-28	S-27	S-26	S-80	S-28
S-26	S-24	S-24	S-24	S-24	S-24
S-27	S-21	S-25	S-21	S-21	S-23
S-28	S-24	S-29	S-29	S-29	S-22
S-29	S-24	S-28	S-28	S-28	S-24
S-30	S-80	FAIL	S-100	FAIL	S-26
S-31	FAIL	S-100	FAIL	FAIL	S-39
S-32	S-80	S-36	S-72	FAIL	S-39
S-33	S-36	S-100	S-80	FAIL	S-39
S-34	S-38	S-36	S-80	S-80	S-35
S-35	S-37	S-80	S-80	FAIL	S-33
S-36	S-38	S-34	S-80	S-34	S-35
S-37	S-25	S-79	S-80	FAIL	S-35
S-38	S-34	S-39	S-36	FAIL	S-33
S-39	S-79	S-36	S-80	FAIL	S-33
S-40	S-79	S-36	S-80	S-36	S-39
S-41	S-50	S-59	S-50	FAIL	S-43
S-42	S-50	S-48	S-50	S-49	S-50
S-43	S-50	S-48	S-50	S-50	S-48
S-44	S-50	S-48	S-50	FAIL	S-50
